"ID","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"1","CAN","EMP","MEN","PC_WKGPOP","A",1995,73.43333,""
"2","CAN","EMP","MEN","PC_WKGPOP","A",1996,73.15833,""
"3","CAN","EMP","MEN","PC_WKGPOP","A",1997,73.83334,""
"4","CAN","EMP","MEN","PC_WKGPOP","A",1998,74.35,""
"5","CAN","EMP","MEN","PC_WKGPOP","A",1999,75.36667,""
"6","CAN","EMP","MEN","PC_WKGPOP","A",2000,76.15833,""
"7","CAN","EMP","MEN","PC_WKGPOP","A",2001,75.675,""
"8","CAN","EMP","MEN","PC_WKGPOP","A",2002,75.85833,""
"9","CAN","EMP","MEN","PC_WKGPOP","A",2003,76.375,""
"10","CAN","EMP","MEN","PC_WKGPOP","A",2004,76.575,""
"11","CAN","EMP","MEN","PC_WKGPOP","A",2005,76.59167,""
"12","CAN","EMP","MEN","PC_WKGPOP","A",2006,76.68333,""
"13","CAN","EMP","MEN","PC_WKGPOP","A",2007,77.04166,""
"14","CAN","EMP","MEN","PC_WKGPOP","A",2008,77.08334,""
"15","CAN","EMP","MEN","PC_WKGPOP","A",2009,73.76667,""
"16","CAN","EMP","MEN","PC_WKGPOP","A",2010,74.09167,""
"17","CAN","EMP","MEN","PC_WKGPOP","A",2011,74.825,""
"18","CAN","EMP","MEN","PC_WKGPOP","A",2012,74.91666,""
"19","CAN","EMP","MEN","PC_WKGPOP","A",2013,75.2,""
"20","CAN","EMP","MEN","PC_WKGPOP","A",2014,75.2,""
"21","CAN","EMP","MEN","PC_WKGPOP","A",2015,75.575,""
"22","CAN","EMP","MEN","PC_WKGPOP","A",2016,75.40833,""
"23","CAN","EMP","TOT","PC_WKGPOP","A",1995,67.525,""
"24","CAN","EMP","TOT","PC_WKGPOP","A",1996,67.35,""
"25","CAN","EMP","TOT","PC_WKGPOP","A",1997,67.98333,""
"26","CAN","EMP","TOT","PC_WKGPOP","A",1998,68.95,""
"27","CAN","EMP","TOT","PC_WKGPOP","A",1999,69.98333,""
"28","CAN","EMP","TOT","PC_WKGPOP","A",2000,70.9,""
"29","CAN","EMP","TOT","PC_WKGPOP","A",2001,70.79166,""
"30","CAN","EMP","TOT","PC_WKGPOP","A",2002,71.41666,""
"31","CAN","EMP","TOT","PC_WKGPOP","A",2003,72.18333,""
"32","CAN","EMP","TOT","PC_WKGPOP","A",2004,72.45,""
"33","CAN","EMP","TOT","PC_WKGPOP","A",2005,72.44167,""
"34","CAN","EMP","TOT","PC_WKGPOP","A",2006,72.75833,""
"35","CAN","EMP","TOT","PC_WKGPOP","A",2007,73.5,""
"36","CAN","EMP","TOT","PC_WKGPOP","A",2008,73.525,""
"37","CAN","EMP","TOT","PC_WKGPOP","A",2009,71.38333,""
"38","CAN","EMP","TOT","PC_WKGPOP","A",2010,71.475,""
"39","CAN","EMP","TOT","PC_WKGPOP","A",2011,71.84167,""
"40","CAN","EMP","TOT","PC_WKGPOP","A",2012,72.05,""
"41","CAN","EMP","TOT","PC_WKGPOP","A",2013,72.44167,""
"42","CAN","EMP","TOT","PC_WKGPOP","A",2014,72.30833,""
"43","CAN","EMP","TOT","PC_WKGPOP","A",2015,72.50833,""
"44","CAN","EMP","TOT","PC_WKGPOP","A",2016,72.56667,""
"45","CAN","EMP","WOMEN","PC_WKGPOP","A",1995,61.59167,""
"46","CAN","EMP","WOMEN","PC_WKGPOP","A",1996,61.50834,""
"47","CAN","EMP","WOMEN","PC_WKGPOP","A",1997,62.11666,""
"48","CAN","EMP","WOMEN","PC_WKGPOP","A",1998,63.49166,""
"49","CAN","EMP","WOMEN","PC_WKGPOP","A",1999,64.625,""
"50","CAN","EMP","WOMEN","PC_WKGPOP","A",2000,65.63333,""
"51","CAN","EMP","WOMEN","PC_WKGPOP","A",2001,65.86667,""
"52","CAN","EMP","WOMEN","PC_WKGPOP","A",2002,66.94167,""
"53","CAN","EMP","WOMEN","PC_WKGPOP","A",2003,67.975,""
"54","CAN","EMP","WOMEN","PC_WKGPOP","A",2004,68.34167,""
"55","CAN","EMP","WOMEN","PC_WKGPOP","A",2005,68.225,""
"56","CAN","EMP","WOMEN","PC_WKGPOP","A",2006,68.85,""
"57","CAN","EMP","WOMEN","PC_WKGPOP","A",2007,69.95,""
"58","CAN","EMP","WOMEN","PC_WKGPOP","A",2008,69.925,""
"59","CAN","EMP","WOMEN","PC_WKGPOP","A",2009,68.96667,""
"60","CAN","EMP","WOMEN","PC_WKGPOP","A",2010,68.825,""
"61","CAN","EMP","WOMEN","PC_WKGPOP","A",2011,68.86667,""
"62","CAN","EMP","WOMEN","PC_WKGPOP","A",2012,69.19167,""
"63","CAN","EMP","WOMEN","PC_WKGPOP","A",2013,69.68333,""
"64","CAN","EMP","WOMEN","PC_WKGPOP","A",2014,69.4,""
"65","CAN","EMP","WOMEN","PC_WKGPOP","A",2015,69.425,""
