,LOCATION,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,AUS,Australia,20.3558448318,19.2583065341,19.105205571,18.2672282047,18.8130958936,17.7196155541,16.9581447993,16.9508910545,16.271988334,14.7672521422,15.8369315236,15.2814338682,14.8041651288,14.3563666427,14.2621364601
2,AUT,Austria,22.9402261712,21.6101694915,19.8036006547,19.3780687398,18.5134674395,17.1525423729,16.9779853235,16.8358991156,15.6473649967,13.6709698775,13.5899967094,13.3158412594,12.5942932109,12.0394736842,11.0631229236
3,BEL,Belgium,25.8819294456,25.9447674419,24.6886446886,22.936802974,22.4309392265,21.1721611722,20.5373573795,19.5050946143,18.1188479767,16.6418466121,16.1971830986,15.5365126677,15.134529148,13.8281838734,11.9635396886
4,CAN,Canada,13.8198933721,12.9611232243,11.7543584205,10.9983633388,10.7519817173,10.9237336123,10.2151667122,9.2049678057,9.286494332,6.5070037728,7.1083159551,7.9630203809,7.641811581,7.3359973404,7.7127659574
5,CHE,Switzerland,16.0905840286,16.0905840286,16.0905840286,16.0905840286,16.0905840286,16.0905840286,16.0566706021,16.3551401869,13.9344262295,12.7962085308,14.3286272154,13.6823319453,12.9916567342,12.2828040743,11.1277744451
6,CHL,Chile,46.493313231,46.493313231,46.493313231,46.493313231,46.493313231,46.493313231,45.6346223714,44.1096249408,42.0423733671,39.7892120914,35.2547144962,33.2589488004,31.7985823977,30.8959584593,28.9560807389
7,COL,Colombia,38.7978119557,38.7978119557,38.7978119557,38.7978119557,38.7978119557,38.7978119557,38.7978119557,38.7978119557,38.1528432584,35.908749673,34.0940946702,33.1367320261,31.6204159029,30.9261919818,30.6631280534
8,CZE,Czech Republic,22.2146274778,22.2070379228,22.8087986464,22.9138166895,22.5717248531,23.2343909928,22.9385816084,23.454727698,23.6658932715,23.2566012187,23.4954097246,22.6612630868,21.9430485762,21.1830799736,21.2012987013
9,DEU,Germany,16.3859649123,16.3859649123,16.3859649123,16.3859649123,16.3859649123,16.3859649123,15.5616626589,15.3717347622,15.2274225445,13.5941644562,13.1803278689,12.5966494845,12.5802310655,11.5458627325,10.9865470852
10,DNK,Denmark,11.3277623027,10.2212527267,10.3469834323,11.4841543772,10.1944792974,9.9561678147,9.5721760542,9.4088517487,9.1939932577,6.7649887785,5.9212702613,7.1852340145,6.9171932158,6.6,7.8851864071
11,ESP,Spain,41.9943820225,40.4967230079,37.9690189329,35.8948087432,33.6616847826,31.0585885486,29.3228139382,27.4548440066,24.4800545517,19.8946972546,18.4870706291,17.0086819258,15.1741293532,15.0696496412,15.5747836836
12,EST,Estonia,9.5069033531,9.5015576324,9.8259187621,9.6226415094,7.5371145794,5.4327463469,8.1582633053,9.8332766247,9.6642929807,1.7482517483,1.4586709887,7.0822574696,7.1044133477,7.9187105816,9.0815627142
13,FIN,Finland,8.3481983589,7.6597246735,5.3947838514,5.7050592034,5.9540889527,5.300604767,5.7443082312,5.0606585789,5.6752136752,2.3021582734,3.5315315315,4.4633368757,3.3664068037,3.0032177333,2.195034185
14,FRA,France,16.7559842801,16.7559842801,16.7559842801,16.7559842801,16.2715517241,15.6622158066,15.0362318841,13.8367052023,13.3883704235,12.4588966021,12.4725676664,12.5274725275,11.7841409692,11.0210099521,10.1858736059
15,GBR,United Kingdom,16.8326373273,16.6666666667,16.0553410553,16.0938001927,15.816490215,15.3870864118,15.1837524178,15.625,15.0290885585,13.3177570093,13.3691635875,13.3243606999,13.4,12.736318408,12.7237227465
16,GRC,Greece,41.7686123733,41.6695896177,40.1739130435,39.1826923077,38.0136986301,37.3850868233,36.0162326682,35.7479784367,34.6890756303,32.9677861549,31.7341862118,31.1782708493,30.5451518935,31.0880829016,29.107373868
17,HUN,Hungary,21.1340206186,20.9293089754,20.810166799,19.7793538219,19.7149643705,19.27949327,20.1407899883,20.4474097331,19.7688322041,18.3202964183,16.1169102296,17.0852202552,15.896188159,17.4254317111,17.5820125323
18,IRL,Ireland,29.3809367835,28.3757338552,26.5495525356,25.9308510638,25.5760368664,24.1379310345,23.8921001927,21.7419354839,19.3559208319,13.6568848758,12.2392758756,12.0111731844,12.1260470682,14.1266794626,15.2523364486
