"","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"1","AUS","EMP","MEN","PC_WKGPOP","A","2005",78.50571,""
"2","AUS","EMP","MEN","PC_WKGPOP","A","2006",78.8098,""
"3","AUS","EMP","MEN","PC_WKGPOP","A","2007",79.54396,""
"4","AUS","EMP","MEN","PC_WKGPOP","A","2008",79.6843,""
"5","AUS","EMP","MEN","PC_WKGPOP","A","2009",77.78976,""
"6","AUS","EMP","MEN","PC_WKGPOP","A","2010",78.59275,""
"7","AUS","EMP","MEN","PC_WKGPOP","A","2011",78.6739,""
"8","AUS","EMP","MEN","PC_WKGPOP","A","2012",78.13828,""
"9","AUS","EMP","MEN","PC_WKGPOP","A","2013",77.55681,""
"10","AUS","EMP","MEN","PC_WKGPOP","A","2014",77.08817,""
"11","AUS","EMP","MEN","PC_WKGPOP","A","2015",77.53616,""
"12","AUS","EMP","MEN","PC_WKGPOP","A","2016",77.50916,""
"13","AUS","EMP","TOT","PC_WKGPOP","A","2005",71.54403,""
"14","AUS","EMP","TOT","PC_WKGPOP","A","2006",72.12262,""
"15","AUS","EMP","TOT","PC_WKGPOP","A","2007",72.80006,""
"16","AUS","EMP","TOT","PC_WKGPOP","A","2008",73.20431,""
"17","AUS","EMP","TOT","PC_WKGPOP","A","2009",72.05107,""
"18","AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,""
"19","AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65837,""
"20","AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34915,""
"21","AUS","EMP","TOT","PC_WKGPOP","A","2013",71.98106,""
"22","AUS","EMP","TOT","PC_WKGPOP","A","2014",71.57613,""
"23","AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15298,""
"24","AUS","EMP","TOT","PC_WKGPOP","A","2016",72.40861,""
"25","AUS","EMP","WOMEN","PC_WKGPOP","A","2005",64.5948,""
"26","AUS","EMP","WOMEN","PC_WKGPOP","A","2006",65.44512,""
"27","AUS","EMP","WOMEN","PC_WKGPOP","A","2007",66.06055,""
"28","AUS","EMP","WOMEN","PC_WKGPOP","A","2008",66.71808,""
"29","AUS","EMP","WOMEN","PC_WKGPOP","A","2009",66.30235,""
"30","AUS","EMP","WOMEN","PC_WKGPOP","A","2010",66.14607,""
"31","AUS","EMP","WOMEN","PC_WKGPOP","A","2011",66.6514,""
