TIME,Value
1975,21.58273381
1976,20.75471698
1977,18.3908046
1978,19.79166667
1979,20
1980,18.75
1981,18.25396825
1982,20.81911263
1983,19.15584416
1984,18.6746988
1985,19.60784314
1986,18.84816754
1987,18.51851852
1988,18.79350348
1989,18.58974359
1990,18.18181818
1991,16.015625
1992,14.25855513
1993,13.22463768
1994,14.40972222
1995,14.47811448
1997,15.25423729
1998,13.24200913
1999,14.28571429
2000,17.2
2001,14.34210526
2002,15
2003,13.04347826
2004,14.35294118
2005,15.77777778
2006,16.66666667
2007,15.4
2008,11.93737769
2009,16.36363636
2010,14.04293381
2011,15.96638656
2012,13.75
2013,18
2014,15.38461539
2015,13
2016,14.28631056
