"","LOCATION","TIME","Value","Country"
"1","AUS",2000,17.2,"Australia"
"2","AUS",2001,14.342105263,"Australia"
"3","AUS",2002,15,"Australia"
"4","AUS",2003,13.043478261,"Australia"
"5","AUS",2004,14.352941176,"Australia"
"6","AUS",2005,15.777777778,"Australia"
"7","AUS",2006,16.666666667,"Australia"
"8","AUS",2007,15.4,"Australia"
"9","AUS",2008,11.937377691,"Australia"
"10","AUS",2009,16.363636364,"Australia"
"11","AUS",2010,14.04293381,"Australia"
"12","AUS",2011,15.966386555,"Australia"
"13","AUS",2012,13.75,"Australia"
"14","AUS",2013,18,"Australia"
"15","AUS",2014,15.384615385,"Australia"
"16","AUS",2015,13,"Australia"
"17","AUS",2016,14.286310555,"Australia"
"18","AUT",2000,23.141943088,"Austria"
"19","AUT",2001,22.801817823,"Austria"
"20","AUT",2002,24.48922362,"Austria"
"21","AUT",2003,21.136921977,"Austria"
"22","AUT",2004,22.430792158,"Austria"
"23","AUT",2005,22.032085753,"Austria"
"24","AUT",2006,21.855130427,"Austria"
"25","AUT",2007,21.634276366,"Austria"
"26","AUT",2008,20.917320274,"Austria"
"27","AUT",2009,19.355965917,"Austria"
"28","AUT",2010,19.188862682,"Austria"
"29","AUT",2011,18.550554118,"Austria"
"30","AUT",2012,18.185056843,"Austria"
"31","AUT",2013,18.053211411,"Austria"
"32","AUT",2014,17.728884245,"Austria"
"33","AUT",2015,17.04325299,"Austria"
"34","BEL",2000,13.599231139,"Belgium"
"35","BEL",2001,13.186813187,"Belgium"
"36","BEL",2002,11.604714415,"Belgium"
"37","BEL",2003,15.205183585,"Belgium"
"38","BEL",2004,11.832061069,"Belgium"
"39","BEL",2005,11.511092507,"Belgium"
"40","BEL",2006,10.253267974,"Belgium"
"41","BEL",2007,9.8736176935,"Belgium"
"42","BEL",2008,8.9157536834,"Belgium"
"43","BEL",2009,7.4804614812,"Belgium"
"44","BEL",2010,7.0437956204,"Belgium"
"45","BEL",2011,5.8381088825,"Belgium"
"46","BEL",2012,6.4111498258,"Belgium"
"47","BEL",2013,5.9128630705,"Belgium"
"48","BEL",2014,3.2989003665,"Belgium"
"49","CAN",2000,23.875,"Canada"
"50","CAN",2001,24.324579125,"Canada"
"51","CAN",2002,24.013157895,"Canada"
"52","CAN",2003,22.502340337,"Canada"
"53","CAN",2004,22.717948718,"Canada"
"54","CAN",2005,21.25,"Canada"
"55","CAN",2006,21.123321123,"Canada"
"56","CAN",2007,20.808235294,"Canada"
"57","CAN",2008,20.454545455,"Canada"
"58","CAN",2009,20.131868132,"Canada"
"59","CAN",2010,18.977469671,"Canada"
"60","CAN",2011,19.175531915,"Canada"
"61","CAN",2012,19.511231281,"Canada"
"62","CAN",2013,19.30323498,"Canada"
"63","CAN",2014,19.229,"Canada"
"64","CAN",2015,18.62745098,"Canada"
"65","CZE",2001,16.876621646,"Czech Republic"
"66","CZE",2002,15.95069783,"Czech Republic"
"67","CZE",2003,15.637497319,"Czech Republic"
"68","CZE",2004,16.14681968,"Czech Republic"
"69","CZE",2005,15.93892946,"Czech Republic"
"70","CZE",2006,15.351766206,"Czech Republic"
"71","CZE",2007,16.931531878,"Czech Republic"
"72","CZE",2008,17.873019877,"Czech Republic"
"73","CZE",2009,15.105017965,"Czech Republic"
"74","CZE",2010,15.798503074,"Czech Republic"
"75","CZE",2011,16.329656698,"Czech Republic"
"76","CZE",2012,15.262979875,"Czech Republic"
"77","CZE",2013,15.378835316,"Czech Republic"
"78","CZE",2014,16.254560195,"Czech Republic"
"79","CZE",2015,16.455154158,"Czech Republic"
"80","CZE",2016,16.315711426,"Czech Republic"
"81","DNK",2002,10.797075672,"Denmark"
"82","DNK",2003,9.9218040874,"Denmark"
"83","DNK",2004,10.182205379,"Denmark"
"84","DNK",2005,10.167330417,"Denmark"
"85","DNK",2006,10.172061249,"Denmark"
"86","DNK",2007,9.8502979383,"Denmark"
"87","DNK",2008,10.183549033,"Denmark"
"88","DNK",2009,10.172005037,"Denmark"
"89","DNK",2010,8.8950984961,"Denmark"
"90","DNK",2011,7.9471972614,"Denmark"
"91","DNK",2012,6.9998448997,"Denmark"
"92","DNK",2013,6.7689119604,"Denmark"
"93","DNK",2014,6.3238657022,"Denmark"
"94","DNK",2015,5.8360480952,"Denmark"
"95","FIN",2000,20.427489178,"Finland"
"96","FIN",2001,21.239091287,"Finland"
"97","FIN",2002,20.373202814,"Finland"
"98","FIN",2003,20.099255583,"Finland"
"99","FIN",2004,20.015151037,"Finland"
"100","FIN",2005,18.941694033,"Finland"
"101","FIN",2006,19.374794537,"Finland"
"102","FIN",2007,21.376904093,"Finland"
"103","FIN",2008,21.233952657,"Finland"
"104","FIN",2009,19.675672792,"Finland"
"105","FIN",2010,18.876999846,"Finland"
"106","FIN",2011,18.607617095,"Finland"
"107","FIN",2012,18.726074526,"Finland"
"108","FIN",2013,20.178432711,"Finland"
"109","FIN",2014,19.609079445,"Finland"
"110","FIN",2015,18.055981324,"Finland"
"111","FRA",2002,13.30472103,"France"
"112","FRA",2006,9.3907466789,"France"
"113","FRA",2010,9.1188075406,"France"
"114","FRA",2014,9.8721023181,"France"
"115","DEU",2000,20.510708402,"Germany"
"116","DEU",2001,19.248508304,"Germany"
"117","DEU",2002,19.13580247,"Germany"
"118","DEU",2003,20.397585037,"Germany"
"119","DEU",2004,22.509352517,"Germany"
"120","DEU",2005,17.302052787,"Germany"
"121","DEU",2006,19.622093023,"Germany"
"122","DEU",2007,17.105263158,"Germany"
"123","DEU",2008,17.442335769,"Germany"
"124","DEU",2009,17.045454546,"Germany"
"125","DEU",2010,16.75081342,"Germany"
"126","DEU",2011,16.666666667,"Germany"
"127","DEU",2012,15.300546449,"Germany"
"128","DEU",2013,13.857142856,"Germany"
"129","DEU",2014,17.079530638,"Germany"
"130","GRC",2004,13.875598298,"Greece"
"131","GRC",2005,16.666665691,"Greece"
"132","GRC",2006,11.878629486,"Greece"
"133","GRC",2007,11.629049359,"Greece"
"134","GRC",2008,9.5237715743,"Greece"
"135","GRC",2009,9.5871657347,"Greece"
"136","GRC",2010,12.172840597,"Greece"
"137","GRC",2011,10.714285759,"Greece"
"138","GRC",2012,6.8528020209,"Greece"
"139","GRC",2013,11.273732015,"Greece"
"140","GRC",2014,9.0909080854,"Greece"
"141","GRC",2015,6.2499992871,"Greece"
"142","HUN",2000,14.098768043,"Hungary"
"143","HUN",2001,13.689781486,"Hungary"
"144","HUN",2002,9.1297122935,"Hungary"
"145","HUN",2003,1.4760044902,"Hungary"
"146","HUN",2004,3.0343737653,"Hungary"
"147","HUN",2005,4.0215265743,"Hungary"
"148","HUN",2006,0.3843870359,"Hungary"
"149","HUN",2007,3.6481061267,"Hungary"
"150","HUN",2008,2.2206544601,"Hungary"
"151","HUN",2009,3.8760880696,"Hungary"
"152","HUN",2010,6.3817122518,"Hungary"
"153","HUN",2011,6.8639053254,"Hungary"
"154","HUN",2012,11.332462443,"Hungary"
"155","HUN",2013,8.7236506348,"Hungary"
"156","HUN",2014,3.7726055271,"Hungary"
"157","HUN",2015,9.5238095238,"Hungary"
"158","ISL",2004,19.22546295,"Iceland"
"159","ISL",2005,13.199228817,"Iceland"
"160","ISL",2006,12.400076756,"Iceland"
"161","ISL",2007,15.890329911,"Iceland"
"162","ISL",2008,13.328559354,"Iceland"
"163","ISL",2009,15.977812955,"Iceland"
"164","ISL",2010,14.314783738,"Iceland"
"165","ISL",2011,14.079812626,"Iceland"
"166","ISL",2013,14.527463328,"Iceland"
"167","ISL",2014,13.593489862,"Iceland"
"168","ISL",2015,9.9314029946,"Iceland"
"169","IRL",2000,19.72972973,"Ireland"
"170","IRL",2003,19.702836294,"Ireland"
"171","IRL",2004,18.230301742,"Ireland"
"172","IRL",2005,13.793103448,"Ireland"
"173","IRL",2006,14.411326861,"Ireland"
"174","IRL",2007,17.953447971,"Ireland"
"175","IRL",2008,14.964028777,"Ireland"
"176","IRL",2009,14.887077375,"Ireland"
"177","IRL",2010,12.844729883,"Ireland"
"178","IRL",2011,10.446852551,"Ireland"
"179","IRL",2012,8.5007533903,"Ireland"
"180","IRL",2013,12.769827795,"Ireland"
"181","IRL",2014,15.173428116,"Ireland"
"182","IRL",2015,14.448940728,"Ireland"
"183","ITA",2000,8.5185185172,"Italy"
"184","ITA",2002,10.344827586,"Italy"
"185","ITA",2004,6.666666664,"Italy"
"186","ITA",2006,7.6923076946,"Italy"
"187","ITA",2008,11.764705884,"Italy"
"188","ITA",2010,9.9403354745,"Italy"
"189","ITA",2012,11.111111113,"Italy"
"190","ITA",2014,5.5555555533,"Italy"
"191","JPN",2000,33.85930309,"Japan"
"192","JPN",2001,33.864671438,"Japan"
"193","JPN",2002,32.529722589,"Japan"
"194","JPN",2003,31.997350116,"Japan"
"195","JPN",2004,31.087391594,"Japan"
"196","JPN",2005,32.825438887,"Japan"
"197","JPN",2006,32.980832783,"Japan"
"198","JPN",2007,31.742323097,"Japan"
"199","JPN",2008,30.694397853,"Japan"
"200","JPN",2009,28.284923928,"Japan"
"201","JPN",2010,28.684300928,"Japan"
"202","JPN",2011,27.395364926,"Japan"
"203","JPN",2012,26.523545706,"Japan"
"204","JPN",2013,26.587578507,"Japan"
"205","JPN",2014,25.870989997,"Japan"
"206","JPN",2015,25.731790334,"Japan"
"207","KOR",2000,41.654352441,"South Korea"
"208","KOR",2001,40.416140486,"South Korea"
"209","KOR",2002,41.02851279,"South Korea"
"210","KOR",2003,40.083154627,"South Korea"
"211","KOR",2004,39.62354825,"South Korea"
"212","KOR",2005,39.61663236,"South Korea"
"213","KOR",2006,39.774144311,"South Korea"
"214","KOR",2007,38.162064282,"South Korea"
"215","KOR",2008,39.037441734,"South Korea"
"216","KOR",2009,38.614682704,"South Korea"
"217","KOR",2010,39.605857342,"South Korea"
"218","KOR",2011,36.5642295,"South Korea"
"219","KOR",2012,36.298529966,"South Korea"
"220","KOR",2013,36.599634369,"South Korea"
"221","KOR",2014,36.653176139,"South Korea"
"222","KOR",2015,37.176281754,"South Korea"
"223","KOR",2016,36.666666667,"South Korea"
"224","LUX",2002,15.088529638,"Luxembourg"
"225","LUX",2006,7.6680672269,"Luxembourg"
"226","LUX",2010,4.5921644188,"Luxembourg"
"227","LUX",2014,3.4029167858,"Luxembourg"
"228","NLD",2002,16.050386022,"Netherlands"
"229","NLD",2006,16.008064516,"Netherlands"
"230","NLD",2010,17.88914703,"Netherlands"
"231","NLD",2014,14.11468179,"Netherlands"
"232","NZL",2000,7.1665560717,"New Zealand"
"233","NZL",2001,8.0562659847,"New Zealand"
"234","NZL",2002,7.3125,"New Zealand"
"235","NZL",2003,7.6923076923,"New Zealand"
"236","NZL",2004,8.0766995933,"New Zealand"
"237","NZL",2005,9.6111111111,"New Zealand"
"238","NZL",2006,9.3333333333,"New Zealand"
"239","NZL",2007,7.1428571429,"New Zealand"
"240","NZL",2008,8.0536912752,"New Zealand"
"241","NZL",2009,8.7591240876,"New Zealand"
"242","NZL",2010,7.0112359551,"New Zealand"
"243","NZL",2011,4.5333333333,"New Zealand"
"244","NZL",2012,5.9079061685,"New Zealand"
"245","NZL",2013,6.5943238731,"New Zealand"
"246","NZL",2014,6.0833333333,"New Zealand"
"247","NOR",2000,10.188542422,"Norway"
"248","NOR",2001,10.742867084,"Norway"
"249","NOR",2002,10.681873927,"Norway"
"250","NOR",2003,10.211701156,"Norway"
"251","NOR",2004,9.7057919803,"Norway"
"252","NOR",2005,9.3885160328,"Norway"
"253","NOR",2006,9.1624347329,"Norway"
"254","NOR",2007,9.8311482592,"Norway"
"255","NOR",2008,9.2356687898,"Norway"
"256","NOR",2009,8.6687306502,"Norway"
"257","NOR",2010,8.0597014925,"Norway"
"258","NOR",2011,7.7809798271,"Norway"
"259","NOR",2012,6.4066852368,"Norway"
"260","NOR",2013,7.0080862534,"Norway"
"261","NOR",2014,6.2827225131,"Norway"
"262","NOR",2015,7.1246819338,"Norway"
"263","POL",2001,14.299742456,"Poland"
"264","POL",2002,11.315955408,"Poland"
"265","POL",2004,10.638848907,"Poland"
"266","POL",2006,11.440420483,"Poland"
"267","POL",2008,12.993822243,"Poland"
"268","POL",2010,7.1902070437,"Poland"
"269","POL",2012,10.620155274,"Poland"
"270","POL",2014,11.07286288,"Poland"
"271","PRT",2004,13.030303516,"Portugal"
"272","PRT",2005,15.966388101,"Portugal"
"273","PRT",2006,14.354839495,"Portugal"
"274","PRT",2007,15.277779722,"Portugal"
"275","PRT",2008,15.63548277,"Portugal"
"276","PRT",2009,13.792500584,"Portugal"
"277","PRT",2010,13.450867155,"Portugal"
"278","PRT",2011,15.248123293,"Portugal"
"279","PRT",2012,16.315465457,"Portugal"
"280","PRT",2013,16.666666355,"Portugal"
"281","PRT",2014,18.879688997,"Portugal"
"282","PRT",2015,18.917015425,"Portugal"
"283","SVK",2002,20.355160932,"Slovak Republic"
"284","SVK",2003,20.689655172,"Slovak Republic"
"285","SVK",2004,20.88376561,"Slovak Republic"
"286","SVK",2005,20.099255583,"Slovak Republic"
"287","SVK",2006,17.802768166,"Slovak Republic"
"288","SVK",2007,17.521704815,"Slovak Republic"
"289","SVK",2008,16.444769568,"Slovak Republic"
"290","SVK",2009,16.432721259,"Slovak Republic"
"291","SVK",2010,14.851117649,"Slovak Republic"
"292","SVK",2011,15.449856429,"Slovak Republic"
"293","SVK",2012,15.965269161,"Slovak Republic"
"294","SVK",2013,14.109329757,"Slovak Republic"
"295","SVK",2014,14.350047529,"Slovak Republic"
"296","SVK",2015,13.376624885,"Slovak Republic"
"297","SVK",2016,13.899182143,"Slovak Republic"
"298","ESP",2002,17.161961367,"Spain"
"299","ESP",2006,13.533333333,"Spain"
"300","ESP",2010,13.504464286,"Spain"
"301","ESP",2014,11.540497618,"Spain"
"302","SWE",2000,15.495732108,"Sweden"
"303","SWE",2001,16.591494845,"Sweden"
"304","SWE",2002,15.857913099,"Sweden"
"305","SWE",2003,16.005080978,"Sweden"
"306","SWE",2004,15.320591862,"Sweden"
"307","SWE",2005,14.444111477,"Sweden"
"308","SWE",2006,14.589486119,"Sweden"
"309","SWE",2007,16.363636364,"Sweden"
"310","SWE",2008,15.389048991,"Sweden"
"311","SWE",2009,14.917436328,"Sweden"
"312","SWE",2010,14.321260713,"Sweden"
"313","SWE",2011,15.934515689,"Sweden"
"314","SWE",2012,15.135869565,"Sweden"
"315","SWE",2013,13.420490928,"Sweden"
"316","CHE",2000,23.787141178,"Switzerland"
"317","CHE",2002,22.801619433,"Switzerland"
"318","CHE",2004,22.012478004,"Switzerland"
"319","CHE",2006,21.318132126,"Switzerland"
"320","CHE",2008,21.307506053,"Switzerland"
"321","CHE",2010,20.053595355,"Switzerland"
"322","CHE",2012,19.343526441,"Switzerland"
"323","CHE",2014,16.940742841,"Switzerland"
"324","TUR",2006,3.2069970845,"Turkey"
"325","TUR",2010,3.1042128603,"Turkey"
"326","TUR",2014,6.8825910931,"Turkey"
"327","GBR",2000,26.280313819,"United Kingdom"
"328","GBR",2001,25.639645906,"United Kingdom"
"329","GBR",2002,24.379099445,"United Kingdom"
"330","GBR",2003,24.12446709,"United Kingdom"
"331","GBR",2004,23.358740968,"United Kingdom"
"332","GBR",2005,22.063958192,"United Kingdom"
"333","GBR",2006,21.718084034,"United Kingdom"
"334","GBR",2007,21.634780699,"United Kingdom"
"335","GBR",2008,21.857869117,"United Kingdom"
"336","GBR",2009,20.686295961,"United Kingdom"
"337","GBR",2010,19.23143692,"United Kingdom"
"338","GBR",2011,18.246005203,"United Kingdom"
"339","GBR",2012,17.783882784,"United Kingdom"
"340","GBR",2013,17.482014388,"United Kingdom"
"341","GBR",2014,17.382742571,"United Kingdom"
"342","GBR",2015,17.101551481,"United Kingdom"
"343","GBR",2016,16.839736933,"United Kingdom"
"344","USA",2000,23.088923557,"United States"
"345","USA",2001,23.582089552,"United States"
"346","USA",2002,22.091310751,"United States"
"347","USA",2003,20.575539568,"United States"
"348","USA",2004,19.635343619,"United States"
"349","USA",2005,18.975069252,"United States"
"350","USA",2006,19.246298789,"United States"
"351","USA",2007,19.843342037,"United States"
"352","USA",2008,20.050125313,"United States"
"353","USA",2009,19.78021978,"United States"
"354","USA",2010,18.810679612,"United States"
"355","USA",2011,17.788461538,"United States"
"356","USA",2012,19.086651054,"United States"
"357","USA",2013,17.906976744,"United States"
"358","USA",2014,17.451205511,"United States"
"359","USA",2015,18.882681564,"United States"
"360","USA",2016,18.142076503,"United States"
"361","CHL",2000,0,"Chile"
"362","CHL",2003,0,"Chile"
"363","CHL",2006,3.9584158416,"Chile"
"364","CHL",2009,9.0909090909,"Chile"
"365","CHL",2011,16,"Chile"
"366","CHL",2013,16.666666667,"Chile"
"367","CHL",2015,21.052631579,"Chile"
"368","EST",2002,25.000651941,"Estonia"
"369","EST",2006,29.6875,"Estonia"
"370","EST",2010,27.797833935,"Estonia"
"371","EST",2014,28.339350181,"Estonia"
"372","ISR",2001,28.10349985,"Israel"
"373","ISR",2002,24.520095981,"Israel"
"374","ISR",2003,24.61492448,"Israel"
"375","ISR",2004,25.461952568,"Israel"
"376","ISR",2005,22.351536855,"Israel"
"377","ISR",2006,22.015915119,"Israel"
"378","ISR",2007,21.160651097,"Israel"
"379","ISR",2008,22.026009582,"Israel"
"380","ISR",2009,20.268636669,"Israel"
"381","ISR",2010,20.700092117,"Israel"
"382","ISR",2011,21.827411168,"Israel"
"383","SVN",2002,9.4052412234,"Slovenia"
"384","SVN",2006,7.2205736894,"Slovenia"
"385","SVN",2010,0.9917355372,"Slovenia"
"386","SVN",2014,4.9962714392,"Slovenia"
"387","MEX",2005,16.666666667,"Mexico"
"388","MEX",2006,18.604651163,"Mexico"
"389","MEX",2007,12.5,"Mexico"
"390","MEX",2008,22.222222222,"Mexico"
"391","MEX",2009,16.666666667,"Mexico"
"392","MEX",2010,11.627906977,"Mexico"
"393","MEX",2011,10,"Mexico"
"394","MEX",2012,13.555555556,"Mexico"
"395","MEX",2013,15.433403805,"Mexico"
"396","MEX",2014,18.3,"Mexico"
"397","MEX",2015,16.666666667,"Mexico"
"398","MEX",2016,16.492248062,"Mexico"
"399","LVA",2002,18.919555573,"Latvia"
"400","LVA",2006,10.991957105,"Latvia"
"401","LVA",2010,19.055649241,"Latvia"
"402","LVA",2014,21.122994652,"Latvia"
"407","COL",2007,1.3393170184,"Colombia"
"408","COL",2008,1.7396907216,"Colombia"
"409","COL",2009,3.3846751713,"Colombia"
"410","COL",2010,6.4305555555,"Colombia"
"411","COL",2011,3.5348084188,"Colombia"
"412","COL",2012,8.1979467756,"Colombia"
"413","COL",2013,7.1428571429,"Colombia"
"414","COL",2014,9.6,"Colombia"
"415","COL",2015,11.141715728,"Colombia"
"416","CRI",2010,0,"Costa Rica"
"417","CRI",2011,4.6306818182,"Costa Rica"
"418","CRI",2012,0.5524861879,"Costa Rica"
"419","CRI",2013,0,"Costa Rica"
"420","CRI",2014,5.1497005988,"Costa Rica"
"421","CRI",2015,3.7037037037,"Costa Rica"
"422","WRD",2000,19.0345695991056,"World Average"
"423","WRD",2001,20.4121021013353,"World Average"
"424","WRD",2002,18.0439511075138,"World Average"
"425","WRD",2003,17.755854392495,"World Average"
"426","WRD",2004,17.602205264996,"World Average"
"427","WRD",2005,17.5047900775304,"World Average"
"428","WRD",2006,15.3095890589167,"World Average"
"429","WRD",2007,16.4425276800833,"World Average"
"430","WRD",2008,16.2017526193111,"World Average"
"431","WRD",2009,15.56022996994,"World Average"
"432","WRD",2010,13.8366021218514,"World Average"
"433","WRD",2011,14.4661671767962,"World Average"
"434","WRD",2012,13.98605723075,"World Average"
"435","WRD",2013,14.414613394684,"World Average"
"436","WRD",2014,13.6817937882543,"World Average"
"437","WRD",2015,15.2403516731048,"World Average"
"438","WRD",2016,18.9488474698571,"World Average"
