"","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"1","AUS","EMP","MEN","PC_WKGPOP","A",1979,82.10677,""
"2","AUS","EMP","MEN","PC_WKGPOP","A",1980,82.25813,""
"3","AUS","EMP","MEN","PC_WKGPOP","A",1981,82.324,""
"4","AUS","EMP","MEN","PC_WKGPOP","A",1982,80.50681,""
"5","AUS","EMP","MEN","PC_WKGPOP","A",1983,76.9261,""
"6","AUS","EMP","MEN","PC_WKGPOP","A",1984,77.40482,""
"7","AUS","EMP","MEN","PC_WKGPOP","A",1985,77.6591,""
"8","AUS","EMP","MEN","PC_WKGPOP","A",1986,78.21666,""
"9","AUS","EMP","MEN","PC_WKGPOP","A",1987,77.72889,""
"10","AUS","EMP","MEN","PC_WKGPOP","A",1988,78.56184,""
"11","AUS","EMP","MEN","PC_WKGPOP","A",1989,79.80524,""
"12","AUS","EMP","MEN","PC_WKGPOP","A",1990,79.21233,""
"13","AUS","EMP","MEN","PC_WKGPOP","A",1991,75.75577,""
"14","AUS","EMP","MEN","PC_WKGPOP","A",1992,74.16051,""
"15","AUS","EMP","MEN","PC_WKGPOP","A",1993,73.69975,""
"16","AUS","EMP","MEN","PC_WKGPOP","A",1994,75.05529,""
"17","AUS","EMP","MEN","PC_WKGPOP","A",1995,76.38482,""
"18","AUS","EMP","MEN","PC_WKGPOP","A",1996,76.3037,""
"19","AUS","EMP","MEN","PC_WKGPOP","A",1997,75.84586,""
"20","AUS","EMP","MEN","PC_WKGPOP","A",1998,76.17059,""
"21","AUS","EMP","MEN","PC_WKGPOP","A",1999,76.59881,""
"22","AUS","EMP","MEN","PC_WKGPOP","A",2000,76.92454,""
"23","AUS","EMP","MEN","PC_WKGPOP","A",2001,76.35796,""
"24","AUS","EMP","MEN","PC_WKGPOP","A",2002,76.68957,""
"25","AUS","EMP","MEN","PC_WKGPOP","A",2003,77.05504,""
"26","AUS","EMP","MEN","PC_WKGPOP","A",2004,77.60509,""
"27","AUS","EMP","MEN","PC_WKGPOP","A",2005,78.50571,""
"28","AUS","EMP","MEN","PC_WKGPOP","A",2006,78.8098,""
"29","AUS","EMP","MEN","PC_WKGPOP","A",2007,79.54396,""
"30","AUS","EMP","MEN","PC_WKGPOP","A",2008,79.6843,""
"31","AUS","EMP","MEN","PC_WKGPOP","A",2009,77.78976,""
"32","AUS","EMP","MEN","PC_WKGPOP","A",2010,78.59275,""
"33","AUS","EMP","MEN","PC_WKGPOP","A",2011,78.6739,""
"34","AUS","EMP","MEN","PC_WKGPOP","A",2012,78.13828,""
"35","AUS","EMP","MEN","PC_WKGPOP","A",2013,77.55681,""
"36","AUS","EMP","MEN","PC_WKGPOP","A",2014,77.08817,""
"37","AUS","EMP","MEN","PC_WKGPOP","A",2015,77.53616,""
"38","AUS","EMP","MEN","PC_WKGPOP","A",2016,77.50916,""
"39","AUS","EMP","TOT","PC_WKGPOP","A",1979,64.38335,""
"40","AUS","EMP","TOT","PC_WKGPOP","A",1980,65.17445,""
"41","AUS","EMP","TOT","PC_WKGPOP","A",1981,65.36742,""
"42","AUS","EMP","TOT","PC_WKGPOP","A",1982,64.16441,""
"43","AUS","EMP","TOT","PC_WKGPOP","A",1983,61.94022,""
"44","AUS","EMP","TOT","PC_WKGPOP","A",1984,62.82397,""
"45","AUS","EMP","TOT","PC_WKGPOP","A",1985,63.7218,""
"46","AUS","EMP","TOT","PC_WKGPOP","A",1986,65.14481,""
"47","AUS","EMP","TOT","PC_WKGPOP","A",1987,65.30288,""
"48","AUS","EMP","TOT","PC_WKGPOP","A",1988,66.48173,""
"49","AUS","EMP","TOT","PC_WKGPOP","A",1989,68.19857,""
"50","AUS","EMP","TOT","PC_WKGPOP","A",1990,68.37136,""
"51","AUS","EMP","TOT","PC_WKGPOP","A",1991,65.9215,""
"52","AUS","EMP","TOT","PC_WKGPOP","A",1992,64.93269,""
"53","AUS","EMP","TOT","PC_WKGPOP","A",1993,64.61858,""
"54","AUS","EMP","TOT","PC_WKGPOP","A",1994,66.00251,""
"55","AUS","EMP","TOT","PC_WKGPOP","A",1995,67.62838,""
"56","AUS","EMP","TOT","PC_WKGPOP","A",1996,67.66373,""
"57","AUS","EMP","TOT","PC_WKGPOP","A",1997,67.36479,""
"58","AUS","EMP","TOT","PC_WKGPOP","A",1998,67.80048,""
"59","AUS","EMP","TOT","PC_WKGPOP","A",1999,68.23203,""
"60","AUS","EMP","TOT","PC_WKGPOP","A",2000,69.09614,""
"61","AUS","EMP","TOT","PC_WKGPOP","A",2001,69.00098,""
"62","AUS","EMP","TOT","PC_WKGPOP","A",2002,69.35914,""
"63","AUS","EMP","TOT","PC_WKGPOP","A",2003,70.01125,""
"64","AUS","EMP","TOT","PC_WKGPOP","A",2004,70.29926,""
"65","AUS","EMP","TOT","PC_WKGPOP","A",2005,71.54403,""
"66","AUS","EMP","TOT","PC_WKGPOP","A",2006,72.12262,""
"67","AUS","EMP","TOT","PC_WKGPOP","A",2007,72.80006,""
"68","AUS","EMP","TOT","PC_WKGPOP","A",2008,73.20431,""
"69","AUS","EMP","TOT","PC_WKGPOP","A",2009,72.05107,""
"70","AUS","EMP","TOT","PC_WKGPOP","A",2010,72.37024,""
"71","AUS","EMP","TOT","PC_WKGPOP","A",2011,72.65837,""
"72","AUS","EMP","TOT","PC_WKGPOP","A",2012,72.34915,""
"73","AUS","EMP","TOT","PC_WKGPOP","A",2013,71.98106,""
"74","AUS","EMP","TOT","PC_WKGPOP","A",2014,71.57613,""
"75","AUS","EMP","TOT","PC_WKGPOP","A",2015,72.15298,""
"76","AUS","EMP","TOT","PC_WKGPOP","A",2016,72.40861,""
"77","AUS","EMP","WOMEN","PC_WKGPOP","A",1979,46.43391,""
"78","AUS","EMP","WOMEN","PC_WKGPOP","A",1980,47.89563,""
"79","AUS","EMP","WOMEN","PC_WKGPOP","A",1981,48.22359,""
"80","AUS","EMP","WOMEN","PC_WKGPOP","A",1982,47.62653,""
"81","AUS","EMP","WOMEN","PC_WKGPOP","A",1983,46.76277,""
"82","AUS","EMP","WOMEN","PC_WKGPOP","A",1984,48.01133,""
"83","AUS","EMP","WOMEN","PC_WKGPOP","A",1985,49.55098,""
"84","AUS","EMP","WOMEN","PC_WKGPOP","A",1986,51.83862,""
"85","AUS","EMP","WOMEN","PC_WKGPOP","A",1987,52.65175,""
"86","AUS","EMP","WOMEN","PC_WKGPOP","A",1988,54.17611,""
"87","AUS","EMP","WOMEN","PC_WKGPOP","A",1989,56.41579,""
"88","AUS","EMP","WOMEN","PC_WKGPOP","A",1990,57.3747,""
"89","AUS","EMP","WOMEN","PC_WKGPOP","A",1991,55.96263,""
"90","AUS","EMP","WOMEN","PC_WKGPOP","A",1992,55.59902,""
"91","AUS","EMP","WOMEN","PC_WKGPOP","A",1993,55.44041,""
"92","AUS","EMP","WOMEN","PC_WKGPOP","A",1994,56.85906,""
"93","AUS","EMP","WOMEN","PC_WKGPOP","A",1995,58.79062,""
"94","AUS","EMP","WOMEN","PC_WKGPOP","A",1996,58.95956,""
"95","AUS","EMP","WOMEN","PC_WKGPOP","A",1997,58.84204,""
"96","AUS","EMP","WOMEN","PC_WKGPOP","A",1998,59.40298,""
"97","AUS","EMP","WOMEN","PC_WKGPOP","A",1999,59.85204,""
"98","AUS","EMP","WOMEN","PC_WKGPOP","A",2000,61.2659,""
"99","AUS","EMP","WOMEN","PC_WKGPOP","A",2001,61.65271,""
"100","AUS","EMP","WOMEN","PC_WKGPOP","A",2002,62.03787,""
"101","AUS","EMP","WOMEN","PC_WKGPOP","A",2003,62.97922,""
"102","AUS","EMP","WOMEN","PC_WKGPOP","A",2004,63.00517,""
"103","AUS","EMP","WOMEN","PC_WKGPOP","A",2005,64.5948,""
"104","AUS","EMP","WOMEN","PC_WKGPOP","A",2006,65.44512,""
"105","AUS","EMP","WOMEN","PC_WKGPOP","A",2007,66.06055,""
"106","AUS","EMP","WOMEN","PC_WKGPOP","A",2008,66.71808,""
"107","AUS","EMP","WOMEN","PC_WKGPOP","A",2009,66.30235,""
"108","AUS","EMP","WOMEN","PC_WKGPOP","A",2010,66.14607,""
"109","AUS","EMP","WOMEN","PC_WKGPOP","A",2011,66.6514,""
"110","AUS","EMP","WOMEN","PC_WKGPOP","A",2012,66.57056,""
"111","AUS","EMP","WOMEN","PC_WKGPOP","A",2013,66.42247,""
"112","AUS","EMP","WOMEN","PC_WKGPOP","A",2014,66.09375,""
"113","AUS","EMP","WOMEN","PC_WKGPOP","A",2015,66.81113,""
"114","AUS","EMP","WOMEN","PC_WKGPOP","A",2016,67.35626,""
"115","AUT","EMP","MEN","PC_WKGPOP","A",1999,77.575,""
"116","AUT","EMP","MEN","PC_WKGPOP","A",2000,77.375,""
"117","AUT","EMP","MEN","PC_WKGPOP","A",2001,76.7,""
"118","AUT","EMP","MEN","PC_WKGPOP","A",2002,76.375,""
"119","AUT","EMP","MEN","PC_WKGPOP","A",2003,76.375,""
"120","AUT","EMP","MEN","PC_WKGPOP","A",2004,73.325,""
"121","AUT","EMP","MEN","PC_WKGPOP","A",2005,73.75,""
"122","AUT","EMP","MEN","PC_WKGPOP","A",2006,74.95,""
"123","AUT","EMP","MEN","PC_WKGPOP","A",2007,76.325,""
"124","AUT","EMP","MEN","PC_WKGPOP","A",2008,76.85,""
"125","AUT","EMP","MEN","PC_WKGPOP","A",2009,75.525,""
"126","AUT","EMP","MEN","PC_WKGPOP","A",2010,75.975,""
"127","AUT","EMP","MEN","PC_WKGPOP","A",2011,76.225,""
"128","AUT","EMP","MEN","PC_WKGPOP","A",2012,76.225,""
"129","AUT","EMP","MEN","PC_WKGPOP","A",2013,76,""
"130","AUT","EMP","MEN","PC_WKGPOP","A",2014,75.25,""
"131","AUT","EMP","MEN","PC_WKGPOP","A",2015,75.15,""
"132","AUT","EMP","MEN","PC_WKGPOP","A",2016,75.425,""
"133","AUT","EMP","TOT","PC_WKGPOP","A",1999,68.525,""
"134","AUT","EMP","TOT","PC_WKGPOP","A",2000,68.5,""
"135","AUT","EMP","TOT","PC_WKGPOP","A",2001,68.375,""
"136","AUT","EMP","TOT","PC_WKGPOP","A",2002,68.75,""
"137","AUT","EMP","TOT","PC_WKGPOP","A",2003,68.95,""
"138","AUT","EMP","TOT","PC_WKGPOP","A",2004,66.525,""
"139","AUT","EMP","TOT","PC_WKGPOP","A",2005,67.4,""
"140","AUT","EMP","TOT","PC_WKGPOP","A",2006,68.575,""
"141","AUT","EMP","TOT","PC_WKGPOP","A",2007,69.875,""
"142","AUT","EMP","TOT","PC_WKGPOP","A",2008,70.825,""
"143","AUT","EMP","TOT","PC_WKGPOP","A",2009,70.325,""
"144","AUT","EMP","TOT","PC_WKGPOP","A",2010,70.775,""
"145","AUT","EMP","TOT","PC_WKGPOP","A",2011,71.1,""
"146","AUT","EMP","TOT","PC_WKGPOP","A",2012,71.425,""
"147","AUT","EMP","TOT","PC_WKGPOP","A",2013,71.4,""
"148","AUT","EMP","TOT","PC_WKGPOP","A",2014,71.075,""
"149","AUT","EMP","TOT","PC_WKGPOP","A",2015,71.1,""
"150","AUT","EMP","TOT","PC_WKGPOP","A",2016,71.55,""
"151","AUT","EMP","WOMEN","PC_WKGPOP","A",1999,59.55,""
"152","AUT","EMP","WOMEN","PC_WKGPOP","A",2000,59.625,""
"153","AUT","EMP","WOMEN","PC_WKGPOP","A",2001,60.125,""
"154","AUT","EMP","WOMEN","PC_WKGPOP","A",2002,61.25,""
"155","AUT","EMP","WOMEN","PC_WKGPOP","A",2003,61.575,""
"156","AUT","EMP","WOMEN","PC_WKGPOP","A",2004,59.75,""
"157","AUT","EMP","WOMEN","PC_WKGPOP","A",2005,61.1,""
"158","AUT","EMP","WOMEN","PC_WKGPOP","A",2006,62.225,""
"159","AUT","EMP","WOMEN","PC_WKGPOP","A",2007,63.475,""
"160","AUT","EMP","WOMEN","PC_WKGPOP","A",2008,64.825,""
"161","AUT","EMP","WOMEN","PC_WKGPOP","A",2009,65.2,""
"162","AUT","EMP","WOMEN","PC_WKGPOP","A",2010,65.65,""
"163","AUT","EMP","WOMEN","PC_WKGPOP","A",2011,66.075,""
"164","AUT","EMP","WOMEN","PC_WKGPOP","A",2012,66.625,""
"165","AUT","EMP","WOMEN","PC_WKGPOP","A",2013,66.85,""
"166","AUT","EMP","WOMEN","PC_WKGPOP","A",2014,66.925,""
"167","AUT","EMP","WOMEN","PC_WKGPOP","A",2015,67.1,""
"168","AUT","EMP","WOMEN","PC_WKGPOP","A",2016,67.65,""
"169","BEL","EMP","MEN","PC_WKGPOP","A",1999,68.1,""
"170","BEL","EMP","MEN","PC_WKGPOP","A",2000,69.45,""
"171","BEL","EMP","MEN","PC_WKGPOP","A",2001,68.8,""
"172","BEL","EMP","MEN","PC_WKGPOP","A",2002,68.25,""
"173","BEL","EMP","MEN","PC_WKGPOP","A",2003,67.25,""
"174","BEL","EMP","MEN","PC_WKGPOP","A",2004,67.875,""
"175","BEL","EMP","MEN","PC_WKGPOP","A",2005,68.25,""
"176","BEL","EMP","MEN","PC_WKGPOP","A",2006,67.925,""
"177","BEL","EMP","MEN","PC_WKGPOP","A",2007,68.7,""
"178","BEL","EMP","MEN","PC_WKGPOP","A",2008,68.575,""
"179","BEL","EMP","MEN","PC_WKGPOP","A",2009,67.15,""
"180","BEL","EMP","MEN","PC_WKGPOP","A",2010,67.45,""
"181","BEL","EMP","MEN","PC_WKGPOP","A",2011,67.1,""
"182","BEL","EMP","MEN","PC_WKGPOP","A",2012,66.9,""
"183","BEL","EMP","MEN","PC_WKGPOP","A",2013,66.35,""
