"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATE","UPPSRY","PC","A","2005",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2010",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2011",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2012",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2013",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2014",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2015",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2010",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2011",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2013",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2015",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2010",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2011",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2012",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2013",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2015",,"M"
"AUT","GRADRATE","UPPSRY","PC","A","2005",,"M"
"AUT","GRADRATE","UPPSRY","PC","A","2010",87,
"AUT","GRADRATE","UPPSRY","PC","A","2011",86.7,
"AUT","GRADRATE","UPPSRY","PC","A","2012",88.5,
"AUT","GRADRATE","UPPSRY","PC","A","2013",88,
"AUT","GRADRATE","UPPSRY","PC","A","2014",89.7,
"AUT","GRADRATE","UPPSRY","PC","A","2015",90.1,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2010",85.8,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2011",86.4,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2012",88.5,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2013",87.3,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2014",89.3,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2015",89.7,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2010",88.3,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2011",87,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2012",88.5,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2013",88.9,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2014",90.3,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2015",90.4,
"BEL","GRADRATE","UPPSRY","PC","A","2005",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2010",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2011",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2012",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2013",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2014",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2015",34.7,
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2010",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2011",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2013",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2015",30.7,
